"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15, 2021","731.21","729.24","744.34","722.20","72.34K","0.45%"
"Nov 12, 2021","727.94","726.79","732.71","721.04","51.25K","0.43%"
"Nov 11, 2021","724.81","727.02","732.66","712.66","74.43K","-0.30%"
"Nov 10, 2021","727.02","712.50","727.27","711.96","64.69K","2.04%"
"Nov 09, 2021","712.50","709.53","715.45","701.52","66.38K","0.42%"
"Nov 08, 2021","709.53","694.40","712.24","693.77","63.73K","2.24%"
"Nov 05, 2021","694.00","682.80","696.80","682.46","51.76K","1.64%"
"Nov 04, 2021","682.80","668.68","684.95","664.69","62.96K","2.11%"
"Nov 03, 2021","668.68","686.90","700.70","668.68","83.24K","-2.64%"
"Nov 02, 2021","686.78","668.59","689.43","666.79","77.98K","2.74%"
"Nov 01, 2021","668.48","661.54","675.41","661.44","70.58K","1.05%"
"Oct 29, 2021","661.54","657.88","665.61","653.16","60.90K","0.56%"
"Oct 28, 2021","657.88","640.05","659.12","640.05","74.84K","2.79%"
"Oct 27, 2021","640.05","623.93","641.05","623.93","62.08K","2.58%"
"Oct 26, 2021","623.93","620.39","624.67","614.37","41.78K","0.57%"
"Oct 25, 2021","620.39","611.17","622.71","609.16","64.31K","1.57%"
"Oct 22, 2021","610.81","606.97","611.07","604.80","61.03K","0.63%"
"Oct 21, 2021","606.97","606.93","611.05","603.34","50.68K","0.01%"
"Oct 20, 2021","606.93","608.78","610.62","599.48","47.76K","-0.28%"
"Oct 19, 2021","608.66","608.88","610.74","604.10","40.47K","-0.07%"
"Oct 18, 2021","609.06","606.25","614.24","604.08","56.65K","0.46%"
"Oct 15, 2021","606.25","605.93","611.10","601.98","46.01K","0.05%"
"Oct 14, 2021","605.93","592.33","608.12","592.18","51.27K","2.30%"
"Oct 13, 2021","592.33","586.74","594.82","586.38","39.87K","0.95%"
"Oct 12, 2021","586.74","588.58","594.86","586.41","56.33K","-0.31%"
"Oct 11, 2021","588.58","584.62","589.85","584.62","40.26K","0.51%"
"Oct 08, 2021","585.61","585.39","588.35","584.27","38.09K","0.06%"
"Oct 07, 2021","585.27","582.35","588.15","581.35","45.62K","0.44%"
"Oct 06, 2021","582.69","580.80","584.97","579.31","44.49K","0.38%"
"Oct 05, 2021","580.46","567.33","581.13","565.66","87.81K","2.34%"
"Oct 04, 2021","567.21","570.49","576.83","563.23","80.41K","-0.57%"
"Oct 01, 2021","570.49","568.92","573.03","565.23","58.94K","0.28%"
"Sep 30, 2021","568.92","564.14","572.35","564.14","39.88K","0.85%"
"Sep 29, 2021","564.13","571.85","572.71","563.48","49.17K","-1.31%"
"Sep 28, 2021","571.61","563.17","574.79","556.34","61.30K","1.50%"
"Sep 27, 2021","563.17","579.10","582.96","563.17","68.78K","-2.75%"
"Sep 24, 2021","579.10","580.61","585.18","577.50","59.45K","-0.28%"
"Sep 23, 2021","580.73","589.82","593.01","580.48","76.91K","-1.44%"
"Sep 22, 2021","589.20","582.07","589.21","580.34","71.82K","1.22%"
"Sep 21, 2021","582.07","582.62","583.08","571.33","85.88K","-0.10%"
"Sep 20, 2021","582.64","585.17","593.23","579.74","81.26K","-0.41%"
"Sep 17, 2021","585.05","577.57","588.96","577.57","73.52K","1.39%"
"Sep 16, 2021","577.04","576.92","584.40","574.66","63.40K","0.02%"
"Sep 15, 2021","576.92","572.54","581.26","569.23","72.06K","0.77%"
"Sep 14, 2021","572.54","577.58","583.87","570.53","68.33K","-0.88%"
"Sep 13, 2021","577.64","589.35","593.01","575.68","76.39K","-1.81%"
"Sep 10, 2021","588.28","589.51","591.80","584.91","51.38K","-0.21%"
"Sep 09, 2021","589.51","584.74","593.02","583.04","50.71K","0.78%"
"Sep 08, 2021","584.93","578.03","591.08","577.56","51.40K","1.19%"
"Sep 07, 2021","578.03","572.58","584.88","572.45","73.99K","0.97%"
"Sep 06, 2021","572.45","569.20","578.44","568.81","96.93K","0.57%"
"Sep 01, 2021","569.20","569.63","575.92","566.94","54.47K","-0.12%"
"Aug 31, 2021","569.90","570.27","573.32","568.10","67.36K","-0.06%"
